+--------------+----------------------+
|     Gene     | Number of Variations |
|  NM_002884   |          4           |
|  NM_002826   |          4           |
|  NM_002763   |          4           |
|  NM_002697   |          4           |
|  NM_002348   |          4           |
|  NM_002293   |          4           |
| NM_001385184 |          4           |
| NM_001385183 |          4           |
| NM_001385182 |          4           |
| NM_001376557 |          4           |
| NM_001376556 |          4           |
| NM_001375655 |          4           |
| NM_001369819 |          4           |
| NM_001369817 |          4           |
| NM_001369805 |          4           |
| NM_001369804 |          4           |
| NM_001367911 |          4           |
| NM_001367910 |          4           |
| NM_001367909 |          4           |
| NM_001365952 |          4           |
| NM_001365951 |          4           |
| NM_001365849 |          4           |
| NM_001365848 |          4           |
| NM_001355227 |          4           |
| NM_001355226 |          4           |
| NM_001355224 |          4           |
| NM_001350205 |          4           |
| NM_001349625 |          4           |
| NM_001349623 |          4           |
| NM_001349621 |          4           |
| NM_001349620 |          4           |
| NM_001349617 |          4           |
| NM_001349614 |          4           |
| NM_001349613 |          4           |
| NM_001328662 |          4           |
| NM_001324321 |          4           |
| NM_001320274 |          4           |
| NM_001320273 |          4           |
| NM_001297672 |          4           |
| NM_001297671 |          4           |
| NM_001291896 |          4           |
| NM_001291880 |          4           |
| NM_001291496 |          4           |
| NM_001289010 |          4           |
| NM_001284352 |          4           |
| NM_001279354 |          4           |
| NM_001279353 |          4           |
| NM_001278252 |          4           |
| NM_001270616 |          4           |
| NM_001267048 |          4           |
| NM_001261457 |          4           |
| NM_001261456 |          4           |
| NM_001243763 |          4           |
| NM_001198786 |          4           |
| NM_001197131 |          4           |
| NM_001177520 |          4           |
| NM_001164549 |          4           |
| NM_001163629 |          4           |
| NM_001142782 |          4           |
| NM_001136115 |          4           |
| NM_001135669 |          4           |
| NM_001134492 |          4           |
| NM_001134479 |          4           |
| NM_001134476 |          4           |
| NM_001127501 |          4           |
|  NM_001066   |          4           |
| NM_001040441 |          4           |
| NM_001035230 |          4           |
| NM_001010935 |          4           |
| NM_001004128 |          4           |
|  NM_000478   |          4           |
|  NR_165626   |          3           |
|  NR_165625   |          3           |
|  NR_165624   |          3           |
|  NR_165492   |          3           |
|  NR_157569   |          3           |
|  NR_147896   |          3           |
|  NR_146867   |          3           |
|  NR_146575   |          3           |
|  NR_145695   |          3           |
|  NR_145694   |          3           |
|  NR_145693   |          3           |
|  NR_145692   |          3           |
|  NR_145691   |          3           |
|  NR_145690   |          3           |
|  NR_145689   |          3           |
|  NR_145688   |          3           |
|  NR_145687   |          3           |
|  NR_145686   |          3           |
|  NR_145685   |          3           |
|  NR_145684   |          3           |
|  NR_145683   |          3           |
|  NR_145682   |          3           |
|  NR_145681   |          3           |
|  NR_137288   |          3           |
|  NR_137287   |          3           |
|  NR_135114   |          3           |
|  NR_135082   |          3           |
|  NR_130909   |          3           |
|  NR_126402   |          3           |
|  NR_125975   |          3           |
|  NR_109849   |          3           |
|  NR_104620   |          3           |
|  NR_103778   |          3           |
|  NR_073544   |          3           |
|  NR_073023   |          3           |
|  NR_073021   |          3           |
|  NR_073020   |          3           |
|  NR_073019   |          3           |
|  NR_073018   |          3           |
|  NR_073017   |          3           |
|  NR_073016   |          3           |
|  NR_046070   |          3           |
|  NR_037962   |          3           |
|  NR_037641   |          3           |
|  NR_037640   |          3           |
|  NR_037639   |          3           |
|  NR_033940   |          3           |
|  NR_033883   |          3           |
|  NR_026587   |          3           |
|  NM_206926   |          3           |
|  NM_203464   |          3           |
|  NM_201569   |          3           |
|  NM_201568   |          3           |
|  NM_198460   |          3           |
|  NM_183416   |          3           |
|  NM_183413   |          3           |
|  NM_183412   |          3           |
|  NM_178865   |          3           |
|  NM_175710   |          3           |
|  NM_174971   |          3           |
|  NM_174970   |          3           |
|  NM_174969   |          3           |
|  NM_174968   |          3           |
|  NM_174967   |          3           |
|  NM_174966   |          3           |
|  NM_174965   |          3           |
|  NM_174964   |          3           |
|  NM_174963   |          3           |
|  NM_174858   |          3           |
|  NM_173533   |          3           |
|  NM_173156   |          3           |
|  NM_172361   |          3           |
|  NM_172359   |          3           |
|  NM_172358   |          3           |
|  NM_172357   |          3           |
|  NM_172356   |          3           |
|  NM_172355   |          3           |
|  NM_172353   |          3           |
|  NM_172352   |          3           |
|  NM_172351   |          3           |
|  NM_172350   |          3           |
|  NM_172130   |          3           |
|  NM_170708   |          3           |
|  NM_170707   |          3           |
|  NM_153826   |          3           |
|  NM_153758   |          3           |
|  NM_152607   |          3           |
|  NM_152369   |          3           |
|  NM_144698   |          3           |
|  NM_144696   |          3           |
|  NM_133494   |          3           |
|  NM_052862   |          3           |
|  NM_033343   |          3           |
|  NM_033182   |          3           |
|  NM_032890   |          3           |
|  NM_032884   |          3           |
|  NM_032328   |          3           |
|  NM_025063   |          3           |
|  NM_024813   |          3           |
|  NM_024568   |          3           |
|  NM_021958   |          3           |
|  NM_021233   |          3           |
|  NM_020451   |          3           |
|  NM_020335   |          3           |
|  NM_018836   |          3           |
|  NM_018704   |          3           |
|  NM_018565   |          3           |
|  NM_018538   |          3           |
|  NM_018125   |          3           |
|  NM_018022   |          3           |
|  NM_015547   |          3           |
|  NM_015284   |          3           |
|  NM_014870   |          3           |
|  NM_014813   |          3           |
|  NM_014777   |          3           |
|  NM_014474   |          3           |
|  NM_014448   |          3           |
|  NM_013410   |          3           |
|  NM_012093   |          3           |
|  NM_007352   |          3           |
|  NM_007324   |          3           |
|  NM_006623   |          3           |
|  NM_006279   |          3           |
|  NM_005610   |          3           |
|  NM_005572   |          3           |
|  NM_005531   |          3           |
|  NM_004799   |          3           |
|  NM_004284   |          3           |
|  NM_003636   |          3           |
|  NM_002633   |          3           |
|  NM_002389   |          3           |
|  NM_002060   |          3           |
|  NM_001748   |          3           |
| NM_001385228 |          3           |
| NM_001385227 |          3           |
| NM_001385226 |          3           |
| NM_001385185 |          3           |
| NM_001378432 |          3           |
| NM_001378431 |          3           |
| NM_001378429 |          3           |
| NM_001378426 |          3           |
| NM_001378330 |          3           |
| NM_001377229 |          3           |
| NM_001377228 |          3           |
| NM_001376592 |          3           |
| NM_001376591 |          3           |
| NM_001376589 |          3           |
| NM_001376588 |          3           |
| NM_001376587 |          3           |
| NM_001375585 |          3           |
| NM_001375584 |          3           |
| NM_001368324 |          3           |
| NM_001366280 |          3           |
| NM_001365999 |          3           |
| NM_001365953 |          3           |
| NM_001364867 |          3           |
| NM_001363573 |          3           |
| NM_001350630 |          3           |
| NM_001350621 |          3           |
| NM_001350620 |          3           |
| NM_001350619 |          3           |
| NM_001350223 |          3           |
| NM_001350222 |          3           |
| NM_001350221 |          3           |
| NM_001350220 |          3           |
| NM_001350219 |          3           |
| NM_001349923 |          3           |
| NM_001349626 |          3           |
| NM_001349624 |          3           |
| NM_001349622 |          3           |
| NM_001349619 |          3           |
| NM_001349618 |          3           |
| NM_001349616 |          3           |
| NM_001349615 |          3           |
| NM_001348466 |          3           |
| NM_001348465 |          3           |
| NM_001348464 |          3           |
| NM_001348463 |          3           |
| NM_001348462 |          3           |
| NM_001348461 |          3           |
| NM_001348460 |          3           |
| NM_001348459 |          3           |
| NM_001348458 |          3           |
| NM_001348457 |          3           |
| NM_001348456 |          3           |
| NM_001348455 |          3           |
| NM_001348454 |          3           |
| NM_001348453 |          3           |
| NM_001348452 |          3           |
| NM_001331007 |          3           |
| NM_001330684 |          3           |
| NM_001330616 |          3           |
| NM_001330398 |          3           |
| NM_001330355 |          3           |
| NM_001329984 |          3           |
| NM_001322924 |          3           |
| NM_001322923 |          3           |
| NM_001320257 |          3           |
| NM_001319837 |          3           |
| NM_001319665 |          3           |
| NM_001314021 |          3           |
| NM_001312686 |          3           |
| NM_001304791 |          3           |
| NM_001304790 |          3           |
| NM_001304579 |          3           |
| NM_001301079 |          3           |
| NM_001291163 |          3           |
| NM_001290327 |          3           |
| NM_001289088 |          3           |
| NM_001282626 |          3           |
| NM_001280799 |          3           |
| NM_001278344 |          3           |
| NM_001278343 |          3           |
| NM_001271872 |          3           |
| NM_001271870 |          3           |
| NM_001270466 |          3           |
| NM_001270465 |          3           |
| NM_001270464 |          3           |
| NM_001270463 |          3           |
| NM_001270462 |          3           |
| NM_001270461 |          3           |
| NM_001270460 |          3           |
| NM_001270459 |          3           |
| NM_001258343 |          3           |
| NM_001258342 |          3           |
| NM_001258341 |          3           |
| NM_001258340 |          3           |
| NM_001256338 |          3           |
| NM_001256337 |          3           |
| NM_001256336 |          3           |
| NM_001206866 |          3           |
| NM_001206567 |          3           |
| NM_001199863 |          3           |
| NM_001199862 |          3           |
| NM_001199860 |          3           |
| NM_001199691 |          3           |
| NM_001199679 |          3           |
| NM_001199091 |          3           |
| NM_001199089 |          3           |
| NM_001199085 |          3           |
| NM_001199039 |          3           |
| NM_001199038 |          3           |
| NM_001199037 |          3           |
| NM_001174061 |          3           |
| NM_001172819 |          3           |
| NM_001164555 |          3           |
| NM_001164554 |          3           |
| NM_001164553 |          3           |
| NM_001164552 |          3           |
| NM_001164551 |          3           |
| NM_001164550 |          3           |
| NM_001160333 |          3           |
| NM_001146068 |          3           |
| NM_001143943 |          3           |
| NM_001136218 |          3           |
| NM_001136217 |          3           |
| NM_001136216 |          3           |
| NM_001136018 |          3           |
| NM_001135256 |          3           |
| NM_001135255 |          3           |
| NM_001134734 |          3           |
| NM_001122674 |          3           |
| NM_001114106 |          3           |
| NM_001110533 |          3           |
|  NM_001103   |          3           |
| NM_001083621 |          3           |
| NM_001042478 |          3           |
| NM_001017922 |          3           |
| NM_001014765 |          3           |
| NM_001012958 |          3           |
| NM_001011722 |          3           |
| NM_001010980 |          3           |
| NM_001010898 |          3           |
| NM_001010881 |          3           |
| NM_001005389 |          3           |
| NM_001005353 |          3           |
|  NM_000427   |          3           |
|  NR_167752   |          2           |
|  NR_158769   |          2           |
|  NR_158768   |          2           |
|  NR_158185   |          2           |
|  NR_158184   |          2           |
|  NR_148357   |          2           |
|  NR_146891   |          2           |
|  NR_146230   |          2           |
|  NR_146229   |          2           |
|  NR_146228   |          2           |
|  NR_144350   |          2           |
|  NR_138088   |          2           |
|  NR_138087   |          2           |
|  NR_136654   |          2           |
|  NR_135152   |          2           |
|  NR_135151   |          2           |
|  NR_135150   |          2           |
|  NR_135115   |          2           |
|  NR_135003   |          2           |
|  NR_132738   |          2           |
|  NR_131923   |          2           |
|  NR_125976   |          2           |
|  NR_125965   |          2           |
|  NR_111931   |          2           |
|  NR_110668   |          2           |
|  NR_104222   |          2           |
|  NR_104211   |          2           |
|  NR_047584   |          2           |
|  NR_047583   |          2           |
|  NR_047564   |          2           |
|  NR_047563   |          2           |
|  NR_047525   |          2           |
|  NR_047524   |          2           |
|  NR_047523   |          2           |
|  NR_047521   |          2           |
|  NR_047519   |          2           |
|  NR_046018   |          2           |
|  NR_045658   |          2           |
|  NR_045530   |          2           |
|  NR_038828   |          2           |
|  NR_038827   |          2           |
|  NR_037864   |          2           |
|  NR_037806   |          2           |
|  NR_037187   |          2           |
|  NR_036510   |          2           |
|  NR_033967   |          2           |
|  NR_033758   |          2           |
|  NR_033757   |          2           |
|  NR_027962   |          2           |
|  NR_027310   |          2           |
|  NR_026988   |          2           |
|  NR_026987   |          2           |
|  NR_026986   |          2           |
|  NR_026985   |          2           |
|  NR_026782   |          2           |
|  NR_024602   |          2           |
|  NR_002930   |          2           |
|  NM_207578   |          2           |
|  NM_206886   |          2           |
|  NM_205860   |          2           |
|  NM_201348   |          2           |
|  NM_201253   |          2           |
|  NM_199006   |          2           |
|  NM_198576   |          2           |
|  NM_198549   |          2           |
|  NM_198544   |          2           |
|  NM_198389   |          2           |
|  NM_198317   |          2           |
|  NM_182499   |          2           |
|  NM_178221   |          2           |
|  NM_178033   |          2           |
|  NM_177540   |          2           |
|  NM_172369   |          2           |
|  NM_152493   |          2           |
|  NM_152489   |          2           |
|  NM_152487   |          2           |
|  NM_147161   |          2           |
|  NM_144699   |          2           |
|  NM_139135   |          2           |
|  NM_138697   |          2           |
|  NM_138467   |          2           |
|  NM_130898   |          2           |
|  NM_130440   |          2           |
|  NM_130398   |          2           |
|  NM_044472   |          2           |
|  NM_033313   |          2           |
|  NM_033312   |          2           |
|  NM_033131   |          2           |
|  NM_032852   |          2           |
|  NM_032435   |          2           |
|  NM_032270   |          2           |
|  NM_030787   |          2           |
|  NM_024772   |          2           |
|  NM_024529   |          2           |
|  NM_024420   |          2           |
|  NM_024009   |          2           |
|  NM_023923   |          2           |
|  NM_021642   |          2           |
|  NM_020950   |          2           |
|  NM_020780   |          2           |
|  NM_018442   |          2           |
|  NM_018240   |          2           |
|  NM_018085   |          2           |
|  NM_016452   |          2           |
|  NM_016371   |          2           |
|  NM_015506   |          2           |
|  NM_015001   |          2           |
|  NM_014874   |          2           |
|  NM_014864   |          2           |
|  NM_014858   |          2           |
|  NM_014638   |          2           |
|  NM_014458   |          2           |
|  NM_014359   |          2           |
|  NM_014223   |          2           |
|  NM_013371   |          2           |
|  NM_013339   |          2           |
|  NM_012474   |          2           |
|  NM_012231   |          2           |
|  NM_012128   |          2           |
|  NM_007357   |          2           |
|  NM_006684   |          2           |
|  NM_006615   |          2           |
|  NM_006536   |          2           |
|  NM_006474   |          2           |
|  NM_006027   |          2           |
|  NM_006015   |          2           |
|  NM_005686   |          2           |
|  NM_005095   |          2           |
|  NM_005076   |          2           |
|  NM_004841   |          2           |
|  NM_004565   |          2           |
|  NM_004528   |          2           |
|  NM_004402   |          2           |
|  NM_003822   |          2           |
|  NM_003686   |          2           |
|  NM_003672   |          2           |
|  NM_003176   |          2           |
|  NM_003115   |          2           |
|  NM_003101   |          2           |
|  NM_002840   |          2           |
|  NM_002744   |          2           |
|  NM_002731   |          2           |
|  NM_002725   |          2           |
|  NM_002529   |          2           |
|  NM_001877   |          2           |
|  NM_001791   |          2           |
|  NM_001785   |          2           |
|  NM_001684   |          2           |
|  NM_001677   |          2           |
|  NM_001559   |          2           |
|  NM_001531   |          2           |
|  NM_001408   |          2           |
| NM_001385164 |          2           |
| NM_001385163 |          2           |
| NM_001385162 |          2           |
| NM_001385161 |          2           |
| NM_001385053 |          2           |
| NM_001379618 |          2           |
| NM_001379617 |          2           |
| NM_001379616 |          2           |
| NM_001379615 |          2           |
| NM_001379614 |          2           |
| NM_001378331 |          2           |
| NM_001378204 |          2           |
| NM_001375653 |          2           |
| NM_001375652 |          2           |
| NM_001375651 |          2           |
| NM_001375576 |          2           |
| NM_001375297 |          2           |
| NM_001375296 |          2           |
| NM_001374259 |          2           |
| NM_001370231 |          2           |
| NM_001370229 |          2           |
| NM_001370217 |          2           |
| NM_001367841 |          2           |
| NM_001367482 |          2           |
| NM_001366449 |          2           |
| NM_001366445 |          2           |
| NM_001366235 |          2           |
| NM_001366234 |          2           |
| NM_001366233 |          2           |
| NM_001366232 |          2           |
| NM_001365784 |          2           |
| NM_001365783 |          2           |
| NM_001364727 |          2           |
| NM_001363586 |          2           |
| NM_001363584 |          2           |
| NM_001363583 |          2           |
| NM_001363568 |          2           |
| NM_001363558 |          2           |
| NM_001363557 |          2           |
| NM_001350161 |          2           |
| NM_001350160 |          2           |
| NM_001350159 |          2           |
| NM_001350158 |          2           |
| NM_001350140 |          2           |
| NM_001350139 |          2           |
| NM_001350138 |          2           |
| NM_001349780 |          2           |
| NM_001349779 |          2           |
| NM_001349778 |          2           |
| NM_001349777 |          2           |
| NM_001349776 |          2           |
| NM_001349775 |          2           |
| NM_001349774 |          2           |
| NM_001349773 |          2           |
| NM_001347620 |          2           |
| NM_001347619 |          2           |
| NM_001346083 |          2           |
| NM_001331034 |          2           |
| NM_001330540 |          2           |
| NM_001329716 |          2           |
| NM_001329715 |          2           |
| NM_001329714 |          2           |
| NM_001329713 |          2           |
| NM_001329140 |          2           |
| NM_001329139 |          2           |
| NM_001329138 |          2           |
| NM_001329137 |          2           |
| NM_001328124 |          2           |
| NM_001324311 |          2           |
| NM_001324310 |          2           |
| NM_001324117 |          2           |
| NM_001324116 |          2           |
| NM_001324115 |          2           |
| NM_001324114 |          2           |
| NM_001324113 |          2           |
| NM_001323933 |          2           |
| NM_001323932 |          2           |
| NM_001323930 |          2           |
| NM_001320638 |          2           |
| NM_001320136 |          2           |
| NM_001320132 |          2           |
| NM_001319955 |          2           |
| NM_001319838 |          2           |
| NM_001319676 |          2           |
| NM_001319233 |          2           |
| NM_001319224 |          2           |
| NM_001319212 |          2           |
| NM_001319211 |          2           |
| NM_001319210 |          2           |
| NM_001319163 |          2           |
| NM_001319162 |          2           |
| NM_001319161 |          2           |
| NM_001311193 |          2           |
| NM_001310213 |          2           |
| NM_001308115 |          2           |
| NM_001306076 |          2           |
| NM_001305275 |          2           |
| NM_001304513 |          2           |
| NM_001304512 |          2           |
| NM_001303013 |          2           |
| NM_001303012 |          2           |
| NM_001297613 |          2           |
| NM_001297611 |          2           |
| NM_001291940 |          2           |
| NM_001291939 |          2           |
| NM_001291332 |          2           |
| NM_001289091 |          2           |
| NM_001289090 |          2           |
| NM_001289089 |          2           |
